layer_id,run_id,debias_method,model,method,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
13,0,lr,LogisticRegression,real,0.7201834862385321,0.7936368397426306,0.7180277349768875,0.7103658536585366,0.7258566978193146,0.7265625,0.80950927734375,0.7131147540983607,0.6796875,0.75
13,0,lr,XGBoost,real,0.6055045871559633,0.6663549304204699,0.6149253731343284,0.6280487804878049,0.6023391812865497,0.578125,0.634033203125,0.5813953488372093,0.5859375,0.5769230769230769
13,0,dm,LogisticRegression,real,0.5015290519877675,0.5028944710459375,0.6680244399185336,1.0,0.5015290519877675,0.5,0.48406982421875,0.6666666666666666,1.0,0.5
13,0,dm,XGBoost,real,0.5611620795107034,0.5657545264102947,0.5735512630014858,0.5884146341463414,0.5594202898550724,0.4296875,0.4669189453125,0.43846153846153846,0.4453125,0.4318181818181818
13,0,lr,LogisticRegression,random_shuffle,0.5091743119266054,0.4903486458177465,0.5143721633888049,0.5182926829268293,0.5105105105105106,0.53515625,0.5404052734375,0.5405405405405406,0.546875,0.5343511450381679
13,0,lr,LogisticRegression,random_unit_vector,0.5214067278287462,0.5194149334131379,0.5147286821705427,0.5060975609756098,0.5236593059936908,0.5078125,0.5189208984375,0.5116279069767442,0.515625,0.5076923076923077
13,0,dm,LogisticRegression,random_shuffle,0.4602446483180428,0.4404552596139458,0.47234678624813153,0.4817073170731707,0.4633431085043988,0.5078125,0.49298095703125,0.5153846153846153,0.5234375,0.5075757575757576
13,0,dm,LogisticRegression,random_unit_vector,0.4831804281345566,0.4920039652850516,0.49096385542168675,0.4969512195121951,0.4851190476190476,0.50390625,0.48675537109375,0.5134099616858238,0.5234375,0.5037593984962406
13,1,lr,LogisticRegression,real,0.7332317073170732,0.8076125661264979,0.7384155455904334,0.7417417417417418,0.7351190476190477,0.7265625,0.82598876953125,0.7154471544715447,0.6875,0.7457627118644068
13,1,lr,XGBoost,real,0.6371951219512195,0.6823138928402086,0.6437125748502994,0.6456456456456456,0.6417910447761194,0.609375,0.68701171875,0.5726495726495726,0.5234375,0.6320754716981132
